0629859645##31502##2.R4#Kyklwx, Dbsov#Uvod u teoriju računarstva#1
9482598800##21008##1.03#Ctctdh, Nejutfv#Algoritmi i strukture podataka#1
9482598800##31493##2.E2#Ctctdh, Nejutfv#Vjerojatnost i statistika#1
9482598800##31495##2.E5#Ctctdh, Nejutfv#Energijske tehnologije#1
9482598800##34294##3.ELE2#Ctctdh, Nejutfv#Trgovačko pravo#1
8037703055##31502###Blfhg, Cghxxb#Uvod u teoriju računarstva#3
1875602538##31496##2.E5#Wktkrt, Kmyfuv#Elektromagnetska polja#2
1875602538##34294##3.ERI2#Wktkrt, Kmyfuv#Trgovačko pravo#2
1875602538##34356##3.RK2#Wktkrt, Kmyfuv#Tehnologija optičkih komunikacija#2
7626485144##41251###Onesmll, Wlbruxcyymc#Inženjerska ekonomika#3
5845660739##31494##2.R2#Qeqg, Hrnuuk#Signali i sustavi#3
5845660739##34289##3.TI1#Qeqg, Hrnuuk#Višemedijske usluge#3
5845660739##41251###Qeqg, Hrnuuk#Inženjerska ekonomika#3
1455078416##21010##1.02#Tyblhy, Sxkedfis#Arhitektura računala 1#3
1455078416##34294##3.ERI2#Tyblhy, Sxkedfis#Trgovačko pravo#3
8107363320##21010##1.02#Oltsa, Nqtbf#Arhitektura računala 1#3
8107363320##34294##3.EE2#Oltsa, Nqtbf#Trgovačko pravo#3
8107363320##34302##3.EE2#Oltsa, Nqtbf#Prijenos i razdjela električne energije#3
6502107515##31495##2.E1#Lkryol, Qdecxqyttb#Energijske tehnologije#2
6502107515##34343##3.EE2#Lkryol, Qdecxqyttb#Osnove mehatronike#2
6502107515##34346##3.AUT2#Lkryol, Qdecxqyttb#Praktikum robotike#2
6502107515##34347##3.EE2#Lkryol, Qdecxqyttb#Praktikum učinske elektronike#2
6016679635##34294##3.OiMT1#Ldeimaj, Ablqo#Trgovačko pravo#2
6016679635##34349##3.ELE2#Ldeimaj, Ablqo#Prijenos zvuka#2
6016679635##34360##3.ELE2#Ldeimaj, Ablqo#Zvuk i okoliš#2
6488847596##21008###Vljxovmt, Ahfvlvarvh#Algoritmi i strukture podataka#3
6488847596##34332###Vljxovmt, Ahfvlvarvh#Lokalne mreže#3
7150110725##31502##2.R2#Alymxv, Pmmur#Uvod u teoriju računarstva#2
7150110725##31503##2.R2#Alymxv, Pmmur#Baze podataka#2
7150110725##34294##3.OiMT1#Alymxv, Pmmur#Trgovačko pravo#2
1203278258##21012##1.08#Tkhadv, Rcngfsrsa#Menadžment u inženjerstvu#3
1203278258##31493##2.E1#Tkhadv, Rcngfsrsa#Vjerojatnost i statistika#3
1203278258##41251##2.E2#Tkhadv, Rcngfsrsa#Inženjerska ekonomika#3
1077746980##31503###Ldstgqpe, Tcsecgyggi#Baze podataka#2
